engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR1.5_DL1,150106,2319,22921,1.54,-121797.14,-111797.14,-1217.97,1217.97,-0.8114,-1.0,,0.01,1.0,1.5,4.48,6.73,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR1.5_DL2,57445,790,7454,1.38,-10236.2,-236.2,-102.36,102.36,-0.1782,-1.0,,0.01,1.0,1.5,5.09,7.64,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR1.5_DL3,31188,311,2836,1.0,-10067.71,-67.71,-100.68,100.68,-0.3228,-1.0,,0.01,1.0,1.5,5.16,7.75,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR1.75_DL1,152322,1529,23029,1.0,-128457.54,-118457.54,-1284.58,1284.58,-0.8433,-1.0,,0.01,1.0,1.75,4.5,7.88,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR1.75_DL2,58045,531,7573,0.91,-10251.21,-251.21,-102.51,102.51,-0.1766,-1.0,,0.01,1.0,1.75,5.08,8.89,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR1.75_DL3,31430,225,2936,0.72,-10074.41,-74.41,-100.74,100.74,-0.3205,-1.0,,0.01,1.0,1.75,5.11,8.95,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR2.0_DL1,153192,1085,23284,0.71,-131651.6,-121651.6,-1316.52,1316.27,-0.8594,-1.0002,,0.01,1.0,2.0,4.49,8.98,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR2.0_DL2,58577,391,7731,0.67,-10266.13,-266.13,-102.66,102.66,-0.1753,-1.0,,0.01,1.0,2.0,5.07,10.15,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR2.0_DL3,31942,164,2989,0.51,-10082.63,-82.63,-100.83,100.83,-0.3157,-1.0,,0.01,1.0,2.0,5.12,10.24,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR2.5_DL1,153640,624,24199,0.41,-336540.9,-326540.9,-3365.41,3365.41,-2.1905,-1.0,,0.01,1.0,2.5,4.32,10.81,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR2.5_DL2,59520,233,7945,0.39,-10288.67,-288.66,-102.89,102.89,-0.1729,-1.0,,0.01,1.0,2.5,4.98,12.46,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR2.5_DL3,32580,92,3018,0.28,-10089.78,-89.78,-100.9,100.9,-0.3097,-1.0,,0.01,1.0,2.5,5.24,13.11,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR3.0_DL1,154089,369,23849,0.24,-347099.68,-337099.68,-3471.0,3471.0,-2.2526,-1.0,,0.01,1.0,3.0,4.34,13.04,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR3.0_DL2,59195,138,8003,0.23,-10296.5,-296.5,-102.96,102.96,-0.1739,-1.0,,0.01,1.0,3.0,4.8,14.39,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.0_RR3.0_DL3,33282,56,3012,0.17,-10092.61,-92.61,-100.93,100.93,-0.3032,-1.0,,0.01,1.0,3.0,5.64,16.93,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR1.5_DL1,148091,2096,20649,1.42,-71678.28,-61678.28,-716.78,716.78,-0.484,-1.0,,0.01,1.25,1.5,4.69,7.02,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR1.5_DL2,61299,603,5875,0.98,-10192.48,-192.48,-101.92,101.93,-0.1663,-1.0,,0.01,1.25,1.5,6.84,10.26,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR1.5_DL3,34724,265,2363,0.76,-10054.06,-54.06,-100.54,100.54,-0.2895,-1.0,,0.01,1.25,1.5,6.27,9.41,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR1.75_DL1,151403,1325,20316,0.88,-76551.2,-66551.2,-765.51,765.51,-0.5056,-1.0,,0.01,1.25,1.75,4.79,8.38,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR1.75_DL2,62073,427,6025,0.69,-10205.31,-205.31,-102.05,102.05,-0.1644,-1.0,,0.01,1.25,1.75,6.83,11.95,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR1.75_DL3,35364,191,2412,0.54,-10060.6,-60.6,-100.61,100.61,-0.2845,-1.0,,0.01,1.25,1.75,6.33,11.08,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR2.0_DL1,153198,962,21583,0.63,-188833.83,-178833.83,-1888.34,1888.34,-1.2326,-1.0,,0.01,1.25,2.0,4.63,9.27,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR2.0_DL2,62989,310,6068,0.49,-10214.78,-214.78,-102.15,102.15,-0.1622,-1.0,,0.01,1.25,2.0,6.86,13.72,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR2.0_DL3,36509,138,2452,0.38,-10067.73,-67.73,-100.68,100.68,-0.2758,-1.0,,0.01,1.25,2.0,6.44,12.87,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR2.5_DL1,153429,488,20551,0.32,-199275.71,-189275.71,-1992.76,1992.76,-1.2988,-1.0,,0.01,1.25,2.5,4.71,11.8,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR2.5_DL2,61791,179,6421,0.29,-10240.15,-240.15,-102.4,102.4,-0.1657,-1.0,,0.01,1.25,2.5,5.63,14.08,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR2.5_DL3,39914,68,2424,0.17,-10072.79,-72.79,-100.73,100.73,-0.2524,-1.0,,0.01,1.25,2.5,8.26,20.64,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR3.0_DL1,153698,289,20143,0.19,-206323.32,-196323.32,-2063.23,2063.23,-1.3424,-1.0,,0.01,1.25,3.0,4.76,14.31,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR3.0_DL2,62317,111,6417,0.18,-10244.07,-244.07,-102.44,102.44,-0.1644,-1.0,,0.01,1.25,3.0,5.73,17.18,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.25_RR3.0_DL3,41093,39,2425,0.09,-10077.0,-77.0,-100.77,100.77,-0.2452,-1.0,,0.01,1.25,3.0,8.74,26.23,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR1.5_DL1,147481,1710,17033,1.16,-12776.03,-2776.03,-127.76,127.76,-0.0866,-1.0,,0.01,1.5,1.5,5.29,7.94,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR1.5_DL2,68068,457,4230,0.67,-10135.35,-135.35,-101.35,101.35,-0.1489,-1.0,,0.01,1.5,1.5,9.1,13.65,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR1.5_DL3,47470,205,1771,0.43,-10035.24,-35.24,-100.35,100.35,-0.2114,-1.0,,0.01,1.5,1.5,10.55,15.83,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR1.75_DL1,151483,1044,16843,0.69,-14554.49,-4554.49,-145.54,145.54,-0.0961,-1.0,,0.01,1.5,1.75,5.44,9.51,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR1.75_DL2,69570,299,4199,0.43,-10142.33,-142.33,-101.42,101.42,-0.1458,-1.0,,0.01,1.5,1.75,9.19,16.08,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR1.75_DL3,49590,143,1754,0.29,-10037.31,-37.31,-100.37,100.37,-0.2024,-1.0,,0.01,1.5,1.75,10.64,18.63,3
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR2.0_DL1,152301,674,15356,0.44,-21279.06,-11279.06,-212.79,212.79,-0.1397,-1.0,,0.01,1.5,2.0,5.65,11.28,1
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR2.0_DL2,68409,232,4312,0.34,-10150.17,-150.17,-101.5,101.5,-0.1484,-1.0,,0.01,1.5,2.0,8.08,16.17,2
v2_backtest_atr_adx,FULL,FULL_R0.01_ATR1.5_RR2.0_DL3,50262,99,1833,0.2,-10045.46,-45.46,-100.45,100.45,-0.1999,-1.0,,0.01,1.5,2.0,10.56,21.13,3
